City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,padang,-0.9492,100.3543,297.97,85,100,1.48,ID,1675541870
208,huntsville,34.7304,-86.5861,285.46,39,20,4.63,US,1675541971
209,port elizabeth,-33.918,25.5701,298.32,72,100,2.24,ZA,1675541972
210,horadiz,39.4488,47.3353,274.58,56,100,1.66,AZ,1675541972
211,torbay,47.6666,-52.7314,260.14,84,100,16.46,CA,1675541855
212,chimoio,-19.1164,33.4833,296.35,67,57,2.58,MZ,1675541973
213,shingu,33.7333,135.9833,275.65,80,19,3.55,JP,1675541913
214,camocim,-2.9022,-40.8411,301.28,74,86,7.55,BR,1675541973
215,lorengau,-2.0226,147.2712,300.3,73,100,1.87,PG,1675541899
216,saint-augustin,51.226,-58.6502,260.37,73,81,11.2,CA,1675541973
217,surin,14.8818,103.4936,298.43,69,80,2.16,TH,1675541974
218,berlevag,70.8578,29.0864,271.15,86,100,3.6,NO,1675541974
219,wajima,37.4,136.9,276.75,59,97,5.05,JP,1675541974
220,cherskiy,68.75,161.3,235.81,100,93,2.39,RU,1675541788
221,bida,9.0833,6.0167,304.51,15,17,0.86,NG,1675541975
222,flin flon,54.7682,-101.865,258.06,66,100,3.09,CA,1675541711
223,marienburg,54.0359,19.0266,272.53,75,93,5.09,PL,1675541546
224,san cristobal,7.7669,-72.225,299.25,34,11,3.15,VE,1675541975
225,ejea de los caballeros,42.1263,-1.1372,279.27,79,0,7.15,ES,1675541976
226,arandis,-22.4167,14.9667,292.75,67,100,2.54,NA,1675541976
227,coihaique,-45.5752,-72.0662,303.12,26,20,2.57,CL,1675541976
228,puerto narino,-3.7703,-70.3831,295.22,99,100,1.31,CO,1675541977
229,eston,51.1501,-108.7514,271.44,89,96,2.3,CA,1675541977
230,marysville,48.0518,-122.1771,284.48,81,100,4.63,US,1675541742
231,fukue,32.6881,128.8419,281.46,52,18,4.77,JP,1675541977
232,takestan,36.0696,49.6959,272.22,53,99,1.16,IR,1675541978
233,luderitz,-26.6481,15.1594,290.86,85,5,7.26,NA,1675541644
234,chifeng,42.2683,118.9636,267.04,39,60,2.55,CN,1675541920
235,gazanjyk,39.2446,55.5154,278.85,64,99,1.27,TM,1675541978
236,bullhead city,35.1478,-114.5683,293.63,26,20,6.17,US,1675541913
237,alofi,-19.0595,-169.9187,301.09,78,100,3.09,NU,1675541868
238,souillac,-20.5167,57.5167,299.36,83,40,2.57,MU,1675541862
239,sungaipenuh,-2.0833,101.3833,291.13,99,100,0.24,ID,1675541979
240,rafaela,-31.2503,-61.4867,303.14,22,0,1.34,AR,1675541979
241,moose factory,51.2585,-80.6094,261.14,79,100,3.6,CA,1675541555
242,naze,28.3667,129.4833,286.66,68,100,4.81,JP,1675541859
243,ostersund,63.1792,14.6357,266.4,79,75,4.12,SE,1675541882
244,namwala,-15.7504,26.4384,293.02,95,99,1.56,ZM,1675541980
245,tharad,24.3961,71.6267,291.55,30,0,1.8,IN,1675541906
246,jurado,7.1053,-77.7641,300.19,77,91,2.63,CO,1675541981
247,grand gaube,-20.0064,57.6608,299.47,77,99,1.34,MU,1675541860
248,uvira,-3.4067,29.1458,296.21,78,66,0.65,CD,1675541981
249,kamenka,51.3223,42.7678,267.51,96,100,3.57,RU,1675541981
250,aquiraz,-3.9014,-38.3911,302.2,76,87,4.17,BR,1675541982
251,urumqi,43.801,87.6005,264.68,79,100,1.0,CN,1675541641
252,tahta,26.7693,31.5021,286.57,47,63,2.45,EG,1675541982
253,neuquen,-38.9516,-68.0591,310.09,14,0,4.12,AR,1675541946
254,pochutla,15.7432,-96.4661,305.05,39,0,3.88,MX,1675541982
255,comodoro rivadavia,-45.8667,-67.5,297.07,46,0,7.72,AR,1675541869
256,matay,28.419,30.7792,286.21,39,100,2.55,EG,1675541777
257,bud,39.447,-86.1758,281.18,43,74,7.76,US,1675541983
258,aklavik,68.2191,-135.0107,235.15,67,20,1.54,CA,1675541839
259,santiago,-33.4569,-70.6483,307.75,33,0,7.2,CL,1675541700
260,tuktoyaktuk,69.4541,-133.0374,231.15,66,0,1.54,CA,1675541819
261,vila franca do campo,37.7167,-25.4333,287.38,84,5,2.44,PT,1675541984
262,the valley,18.217,-63.0578,300.27,78,40,7.2,AI,1675541916
